,Descriptor,Resolved Type,Cluster Labels,Segment
222,Traffic,fixed,0,1
223,Energy,fixed,0,1
224,Traffic,no_violation,5,6
226,Safety,referred,7,8
227,Safety,duplicated_report,7,8
228,Trash/Pollution,no_violation,3,4
229,Safety,fixed,0,1
230,Noise,no_violation,6,7
231,Noise,no_violation,6,7
232,Noise,fixed,4,5
233,Traffic,no_violation,5,6
235,Noise,fixed,4,5
237,Traffic,info_needed,0,1
238,Noise,no_violation,6,7
239,Noise,info_needed,4,5
241,Noise,info_needed,4,5
242,Noise,info_needed,4,5
243,Noise,info_needed,4,5
244,Traffic,no_violation,5,6
245,Traffic,info_needed,0,1
246,Other,no_violation,1,2
247,Traffic,no_violation,5,6
248,Traffic,no_violation,5,6
249,Traffic,no_violation,5,6
250,Noise,no_violation,6,7
251,Personal Issue,followup,0,1
252,Noise,fixed,4,5
253,Noise,fixed,4,5
254,Traffic,no_violation,5,6
255,Noise,no_violation,6,7
256,Traffic,no_violation,5,6
257,Safety,no_violation,7,8
258,Personal Issue,no_violation,1,2
259,Traffic,no_violation,5,6
260,Safety,referred,7,8
261,Personal Issue,followup,0,1
262,Traffic,no_violation,5,6
263,Traffic,fixed,0,1
264,Personal Issue,followup,0,1
267,Safety,no_violation,7,8
268,Noise,fixed,4,5
269,Commercial,fixed,0,1
270,Noise,no_violation,6,7
271,Trash/Pollution,referred,3,4
272,Safety,no_violation,7,8
273,Safety,no_violation,7,8
275,Commercial,referred,0,1
276,Traffic,info_needed,0,1
277,Noise,no_violation,6,7
279,Noise,no_violation,6,7
282,Noise,no_violation,6,7
283,Other,no_violation,1,2
284,Other,fixed,0,1
285,Noise,no_violation,6,7
286,Traffic,no_violation,5,6
287,Traffic,no_violation,5,6
288,Traffic,no_violation,5,6
290,Traffic,no_violation,5,6
291,Traffic,no_violation,5,6
292,Traffic,no_violation,5,6
294,Traffic,fixed,0,1
295,Traffic,no_violation,5,6
296,Traffic,no_violation,5,6
297,Noise,no_violation,6,7
298,Noise,no_violation,6,7
299,Trash/Pollution,no_violation,3,4
302,Noise,fixed,4,5
303,Noise,fixed,4,5
304,Noise,fixed,4,5
305,Noise,fixed,4,5
306,Noise,no_violation,6,7
307,Noise,fixed,4,5
308,Noise,fixed,4,5
309,Noise,no_violation,6,7
310,Noise,no_violation,6,7
311,Traffic,no_violation,5,6
312,Traffic,no_violation,5,6
313,Traffic,fixed,0,1
314,Other,no_violation,1,2
315,Other,fixed,0,1
316,Traffic,no_violation,5,6
317,Traffic,fixed,0,1
318,Traffic,fixed,0,1
319,Noise,no_violation,6,7
320,Traffic,no_violation,5,6
321,Noise,no_violation,6,7
322,Personal Issue,no_violation,1,2
323,House,no_violation,1,2
324,Noise,fixed,4,5
325,Noise,fixed,4,5
326,Traffic,no_violation,5,6
327,Noise,no_violation,6,7
328,Traffic,no_violation,5,6
329,Noise,fixed,4,5
330,Traffic,fixed,0,1
331,Noise,fixed,4,5
332,Other,no_violation,1,2
334,Noise,fixed,4,5
335,Animals,no_violation,1,2
336,Noise,fixed,4,5
337,Traffic,no_violation,5,6
338,Noise,no_violation,6,7
339,Noise,no_violation,6,7
340,Traffic,fixed,0,1
341,Noise,fixed,4,5
342,Noise,fixed,4,5
343,Noise,fixed,4,5
344,Noise,no_violation,6,7
345,Traffic,fixed,0,1
346,Traffic,no_violation,5,6
347,Noise,no_violation,6,7
349,House,no_violation,1,2
350,Personal Issue,no_violation,1,2
351,Noise,fixed,4,5
352,Noise,fixed,4,5
353,Safety,no_violation,7,8
354,Noise,no_violation,6,7
355,Noise,info_needed,4,5
356,Traffic,no_violation,5,6
357,Traffic,no_violation,5,6
358,Noise,fixed,4,5
359,Traffic,no_violation,5,6
360,Safety,fixed,0,1
361,Traffic,no_violation,5,6
362,Noise,no_violation,6,7
363,Noise,no_violation,6,7
364,Noise,no_violation,6,7
365,Traffic,fixed,0,1
366,Noise,no_violation,6,7
367,Noise,no_violation,6,7
368,Noise,no_violation,6,7
369,Noise,fixed,4,5
370,Traffic,no_violation,5,6
371,Noise,no_violation,6,7
372,House,fixed,2,3
374,Traffic,no_violation,5,6
375,Other,info_needed,0,1
376,House,no_violation,1,2
377,Noise,no_violation,6,7
378,Traffic,fixed,0,1
379,Safety,no_violation,7,8
380,Noise,fixed,4,5
381,Safety,fixed,0,1
384,Traffic,no_violation,5,6
385,Noise,no_violation,6,7
386,Noise,fixed,4,5
387,Traffic,no_violation,5,6
388,Noise,no_violation,6,7
389,Traffic,no_violation,5,6
390,Safety,no_violation,7,8
392,Traffic,fixed,0,1
393,Noise,fixed,4,5
394,Energy,no_violation,1,2
395,Noise,fixed,4,5
396,Noise,fixed,4,5
397,Traffic,no_violation,5,6
398,Traffic,fixed,0,1
399,Noise,no_violation,6,7
400,Noise,no_violation,6,7
401,Noise,no_violation,6,7
402,Noise,no_violation,6,7
403,Traffic,fixed,0,1
404,House,fixed,2,3
406,Noise,no_violation,6,7
407,Noise,no_violation,6,7
408,Noise,no_violation,6,7
409,Noise,no_violation,6,7
410,Noise,no_violation,6,7
411,Noise,fixed,4,5
412,Noise,no_violation,6,7
413,Noise,no_violation,6,7
414,Noise,no_violation,6,7
415,Noise,fixed,4,5
416,Noise,fixed,4,5
417,Noise,no_violation,6,7
418,Noise,fixed,4,5
419,Other,fixed,0,1
420,Noise,fixed,4,5
421,Noise,fixed,4,5
422,Noise,fixed,4,5
423,Traffic,no_violation,5,6
424,Noise,no_violation,6,7
425,Noise,no_violation,6,7
426,Noise,no_violation,6,7
427,Noise,no_violation,6,7
428,Traffic,fixed,0,1
429,Traffic,fixed,0,1
430,Traffic,no_violation,5,6
431,Traffic,no_violation,5,6
432,Traffic,no_violation,5,6
434,Noise,fixed,4,5
435,Traffic,fixed,0,1
436,Noise,no_violation,6,7
437,Noise,no_violation,6,7
438,Traffic,no_violation,5,6
439,Noise,no_violation,6,7
440,Noise,fixed,4,5
441,Traffic,no_violation,5,6
442,Noise,no_violation,6,7
443,Traffic,fixed,0,1
444,Noise,no_violation,6,7
445,Noise,fixed,4,5
446,Noise,fixed,4,5
447,Traffic,no_violation,5,6
448,Traffic,no_violation,5,6
449,Traffic,no_violation,5,6
450,Traffic,no_violation,5,6
451,Safety,fixed,0,1
452,Traffic,no_violation,5,6
453,Traffic,no_violation,5,6
454,Traffic,no_violation,5,6
456,Traffic,no_violation,5,6
457,Traffic,no_violation,5,6
458,Noise,no_violation,6,7
459,Noise,fixed,4,5
460,Noise,fixed,4,5
461,Noise,fixed,4,5
462,Noise,no_violation,6,7
463,Noise,fixed,4,5
464,Traffic,no_violation,5,6
465,Traffic,fixed,0,1
466,Other,no_violation,1,2
467,Noise,fixed,4,5
468,Noise,no_violation,6,7
469,Noise,fixed,4,5
470,Noise,fixed,4,5
471,Noise,no_violation,6,7
472,Noise,no_violation,6,7
473,Traffic,no_violation,5,6
474,Traffic,no_violation,5,6
475,Noise,fixed,4,5
476,Noise,fixed,4,5
477,Noise,no_violation,6,7
478,Noise,fixed,4,5
479,Noise,fixed,4,5
480,Noise,fixed,4,5
481,Noise,fixed,4,5
482,Noise,fixed,4,5
483,Noise,fixed,4,5
484,Noise,fixed,4,5
485,Noise,fixed,4,5
486,Noise,no_violation,6,7
487,Noise,fixed,4,5
488,Noise,fixed,4,5
490,Noise,fixed,4,5
491,Safety,fixed,0,1
492,Noise,fixed,4,5
493,House,fixed,2,3
494,Noise,fixed,4,5
495,Noise,no_violation,6,7
496,Noise,no_violation,6,7
497,Noise,fixed,4,5
499,Noise,fixed,4,5
500,Noise,fixed,4,5
501,Noise,fixed,4,5
502,Noise,no_violation,6,7
503,Other,no_violation,1,2
504,Noise,fixed,4,5
505,Traffic,fixed,0,1
506,Traffic,fixed,0,1
507,Noise,fixed,4,5
508,Noise,fixed,4,5
509,Traffic,fixed,0,1
510,Traffic,no_violation,5,6
511,Noise,fixed,4,5
512,Noise,fixed,4,5
513,Noise,fixed,4,5
514,Traffic,fixed,0,1
515,Traffic,info_needed,0,1
516,Noise,no_violation,6,7
517,Noise,no_violation,6,7
518,Noise,no_violation,6,7
519,Noise,fixed,4,5
520,Noise,fixed,4,5
521,Traffic,no_violation,5,6
522,Noise,no_violation,6,7
523,Noise,fixed,4,5
524,Noise,fixed,4,5
525,Traffic,no_violation,5,6
526,Noise,fixed,4,5
527,Noise,fixed,4,5
528,Traffic,no_violation,5,6
529,Energy,fixed,0,1
530,Noise,no_violation,6,7
531,Noise,fixed,4,5
532,Noise,fixed,4,5
533,Noise,fixed,4,5
534,Noise,fixed,4,5
535,Noise,fixed,4,5
536,Noise,fixed,4,5
537,Noise,no_violation,6,7
538,Noise,fixed,4,5
539,Noise,no_violation,6,7
540,Noise,no_violation,6,7
541,Noise,fixed,4,5
542,Noise,fixed,4,5
543,Noise,fixed,4,5
544,Noise,fixed,4,5
545,Noise,fixed,4,5
546,Noise,fixed,4,5
547,Noise,fixed,4,5
548,Safety,fixed,0,1
549,Noise,no_violation,6,7
550,Energy,fixed,0,1
551,Noise,fixed,4,5
552,Noise,no_violation,6,7
553,Traffic,no_violation,5,6
554,Noise,fixed,4,5
555,Noise,fixed,4,5
556,Noise,no_violation,6,7
557,Noise,no_violation,6,7
558,Traffic,no_violation,5,6
559,Noise,no_violation,6,7
560,Noise,fixed,4,5
561,Noise,no_violation,6,7
579,Noise,no_violation,6,7
580,Traffic,no_violation,5,6
581,Noise,fixed,4,5
582,Safety,fixed,0,1
583,Traffic,info_needed,0,1
584,Noise,no_violation,6,7
585,Noise,no_violation,6,7
586,Noise,no_violation,6,7
587,Noise,fixed,4,5
588,Noise,fixed,4,5
589,Traffic,fixed,0,1
590,Traffic,no_violation,5,6
591,Traffic,no_violation,5,6
592,Noise,no_violation,6,7
593,Noise,no_violation,6,7
594,Noise,fixed,4,5
595,Noise,fixed,4,5
596,Noise,fixed,4,5
597,Noise,fixed,4,5
598,Noise,fixed,4,5
599,Noise,fixed,4,5
600,Noise,fixed,4,5
601,Traffic,fixed,0,1
602,Noise,no_violation,6,7
603,Noise,fixed,4,5
604,Noise,no_violation,6,7
605,Noise,no_violation,6,7
606,Noise,fixed,4,5
607,Noise,info_needed,4,5
608,Noise,no_violation,6,7
609,Noise,no_violation,6,7
610,Noise,fixed,4,5
611,Noise,no_violation,6,7
612,Noise,no_violation,6,7
613,Traffic,fixed,0,1
614,Noise,no_violation,6,7
615,Noise,fixed,4,5
616,Noise,no_violation,6,7
617,Noise,no_violation,6,7
618,Noise,fixed,4,5
619,Noise,no_violation,6,7
620,Noise,fixed,4,5
621,Noise,no_violation,6,7
622,Noise,no_violation,6,7
623,Noise,no_violation,6,7
624,Traffic,no_violation,5,6
625,Noise,no_violation,6,7
626,Noise,fixed,4,5
628,Noise,no_violation,6,7
629,Traffic,fixed,0,1
630,Noise,no_violation,6,7
631,Traffic,info_needed,0,1
632,Noise,no_violation,6,7
633,Traffic,no_violation,5,6
634,Traffic,no_violation,5,6
635,Noise,no_violation,6,7
636,Noise,no_violation,6,7
638,Noise,fixed,4,5
639,Noise,no_violation,6,7
640,Noise,info_needed,4,5
641,Noise,no_violation,6,7
642,Noise,no_violation,6,7
643,Noise,no_violation,6,7
644,Noise,no_violation,6,7
645,Noise,fixed,4,5
646,Noise,fixed,4,5
647,Noise,fixed,4,5
648,Noise,no_violation,6,7
650,Noise,fixed,4,5
651,Traffic,info_needed,0,1
652,Noise,no_violation,6,7
653,Noise,no_violation,6,7
654,Noise,no_violation,6,7
655,Noise,no_violation,6,7
656,Noise,no_violation,6,7
657,Noise,no_violation,6,7
658,Noise,no_violation,6,7
659,Noise,fixed,4,5
660,Noise,no_violation,6,7
661,Noise,no_violation,6,7
662,Noise,fixed,4,5
663,Noise,fixed,4,5
664,Noise,no_violation,6,7
665,Noise,fixed,4,5
666,Noise,fixed,4,5
667,Noise,fixed,4,5
669,Noise,fixed,4,5
671,Noise,no_violation,6,7
672,Noise,no_violation,6,7
673,Noise,no_violation,6,7
674,Noise,info_needed,4,5
675,Noise,no_violation,6,7
676,Traffic,no_violation,5,6
678,Noise,info_needed,4,5
679,Noise,fixed,4,5
680,Noise,no_violation,6,7
682,Noise,no_violation,6,7
683,Noise,no_violation,6,7
684,Noise,no_violation,6,7
685,Noise,fixed,4,5
686,Noise,fixed,4,5
687,Traffic,no_violation,5,6
688,Noise,no_violation,6,7
689,Noise,no_violation,6,7
690,Noise,fixed,4,5
691,Noise,fixed,4,5
692,Noise,no_violation,6,7
693,Noise,fixed,4,5
694,Noise,fixed,4,5
695,Noise,no_violation,6,7
696,Noise,no_violation,6,7
697,Noise,fixed,4,5
698,Traffic,no_violation,5,6
700,Noise,info_needed,4,5
701,Safety,no_violation,7,8
703,Noise,info_needed,4,5
704,Noise,info_needed,4,5
705,Noise,info_needed,4,5
706,Noise,info_needed,4,5
707,Noise,info_needed,4,5
708,Noise,info_needed,4,5
709,Traffic,no_violation,5,6
710,Traffic,no_violation,5,6
726,Noise,info_needed,4,5
727,Noise,no_violation,6,7
728,Noise,info_needed,4,5
730,Noise,no_violation,6,7
731,Noise,no_violation,6,7
734,Noise,fixed,4,5
735,Noise,no_violation,6,7
736,Noise,no_violation,6,7
737,Noise,fixed,4,5
738,Noise,fixed,4,5
739,Noise,no_violation,6,7
741,Traffic,info_needed,0,1
742,Commercial,fixed,0,1
743,Traffic,fixed,0,1
746,Commercial,fixed,0,1
747,Commercial,fixed,0,1
748,Noise,fixed,4,5
750,Traffic,no_violation,5,6
751,Traffic,info_needed,0,1
752,Noise,no_violation,6,7
753,Traffic,no_violation,5,6
755,Safety,no_violation,7,8
756,Traffic,fixed,0,1
757,Traffic,fixed,0,1
758,Traffic,fixed,0,1
759,Traffic,no_violation,5,6
760,Other,no_violation,1,2
762,Personal Issue,followup,0,1
764,Other,followup,0,1
765,Noise,no_violation,6,7
767,Other,no_violation,1,2
768,Traffic,no_violation,5,6
769,Animals,duplicated_report,0,1
770,Animals,duplicated_report,0,1
771,Animals,duplicated_report,0,1
772,Safety,fixed,0,1
773,Traffic,fixed,0,1
774,Traffic,fixed,0,1
775,Traffic,no_violation,5,6
776,Traffic,fixed,0,1
778,Personal Issue,followup,0,1
779,Traffic,fixed,0,1
782,Commercial,followup,0,1
786,Animals,no_violation,1,2
787,Traffic,no_violation,5,6
790,Other,fixed,0,1
793,Traffic,fixed,0,1
794,Commercial,followup,0,1
795,Other,info_needed,0,1
796,Commercial,referred,0,1
797,Commercial,info_needed,0,1
798,House,duplicated_report,1,2
800,Traffic,no_violation,5,6
801,Traffic,no_violation,5,6
802,Traffic,no_violation,5,6
803,Traffic,no_violation,5,6
804,Traffic,fixed,0,1
805,Noise,no_violation,6,7
806,Traffic,no_violation,5,6
807,Commercial,followup,0,1
808,Commercial,followup,0,1
809,Commercial,followup,0,1
810,Commercial,referred,0,1
811,Traffic,fixed,0,1
812,Traffic,fixed,0,1
814,Traffic,no_violation,5,6
816,Traffic,no_violation,5,6
817,Traffic,no_violation,5,6
818,Traffic,no_violation,5,6
819,Commercial,followup,0,1
820,Traffic,no_violation,5,6
821,Traffic,no_violation,5,6
822,Traffic,no_violation,5,6
823,Commercial,followup,0,1
824,Commercial,no_violation,1,2
825,Traffic,no_violation,5,6
826,Traffic,no_violation,5,6
827,Traffic,no_violation,5,6
828,Traffic,fixed,0,1
830,Safety,no_violation,7,8
831,Safety,no_violation,7,8
832,Safety,no_violation,7,8
833,Safety,no_violation,7,8
834,Safety,no_violation,7,8
835,Safety,no_violation,7,8
836,Safety,no_violation,7,8
837,Safety,no_violation,7,8
840,House,no_violation,1,2
841,Animals,no_violation,1,2
844,Traffic,no_violation,5,6
845,Traffic,no_violation,5,6
850,Commercial,followup,0,1
855,Traffic,no_violation,5,6
856,Traffic,no_violation,5,6
857,Traffic,no_violation,5,6
861,Noise,no_violation,6,7
862,Traffic,no_violation,5,6
863,Traffic,no_violation,5,6
864,Traffic,no_violation,5,6
865,Traffic,no_violation,5,6
866,Traffic,no_violation,5,6
867,Traffic,no_violation,5,6
868,Traffic,info_needed,0,1
869,Traffic,fixed,0,1
870,Noise,no_violation,6,7
871,Other,followup,0,1
872,Commercial,referred,0,1
873,Traffic,fixed,0,1
874,Traffic,no_violation,5,6
875,Traffic,no_violation,5,6
876,Traffic,no_violation,5,6
877,Traffic,fixed,0,1
878,Safety,fixed,0,1
879,Traffic,no_violation,5,6
880,Traffic,referred,0,1
881,Traffic,fixed,0,1
883,Traffic,fixed,0,1
884,Traffic,fixed,0,1
885,Other,followup,0,1
887,Traffic,no_violation,5,6
888,Traffic,fixed,0,1
889,Traffic,no_violation,5,6
891,Trash/Pollution,no_violation,3,4
892,Trash/Pollution,no_violation,3,4
894,Trash/Pollution,no_violation,3,4
895,Traffic,no_violation,5,6
896,Traffic,no_violation,5,6
897,Traffic,no_violation,5,6
898,Commercial,referred,0,1
899,Commercial,referred,0,1
900,Commercial,referred,0,1
901,Traffic,no_violation,5,6
902,Other,followup,0,1
903,Traffic,no_violation,5,6
906,Noise,no_violation,6,7
907,Noise,no_violation,6,7
908,Trash/Pollution,fixed,0,1
909,Trash/Pollution,no_violation,3,4
910,Safety,followup,7,8
911,Traffic,no_violation,5,6
913,Commercial,referred,0,1
914,Traffic,fixed,0,1
915,Other,no_violation,1,2
916,Noise,no_violation,6,7
917,Traffic,no_violation,5,6
918,Traffic,no_violation,5,6
919,Traffic,fixed,0,1
921,Traffic,no_violation,5,6
922,Commercial,referred,0,1
924,Traffic,fixed,0,1
925,Traffic,fixed,0,1
926,Traffic,no_violation,5,6
927,Traffic,no_violation,5,6
928,Commercial,followup,0,1
929,Noise,no_violation,6,7
931,Traffic,fixed,0,1
932,Noise,no_violation,6,7
933,Safety,no_violation,7,8
934,Other,referred,0,1
935,Other,referred,0,1
936,Traffic,no_violation,5,6
937,Other,followup,0,1
938,Other,referred,0,1
939,Traffic,no_violation,5,6
941,Traffic,fixed,0,1
943,Traffic,no_violation,5,6
944,Noise,no_violation,6,7
945,Personal Issue,followup,0,1
946,Traffic,no_violation,5,6
947,Noise,info_needed,4,5
949,Personal Issue,fixed,0,1
950,Noise,fixed,4,5
951,Noise,fixed,4,5
952,Commercial,referred,0,1
953,Commercial,info_needed,0,1
954,Commercial,referred,0,1
955,Commercial,info_needed,0,1
956,Traffic,no_violation,5,6
958,Traffic,no_violation,5,6
959,Noise,info_needed,4,5
960,Safety,no_violation,7,8
961,Traffic,fixed,0,1
962,Traffic,no_violation,5,6
963,Traffic,fixed,0,1
964,Safety,no_violation,7,8
965,Traffic,no_violation,5,6
966,Noise,fixed,4,5
967,Noise,fixed,4,5
968,Noise,fixed,4,5
969,Other,fixed,0,1
970,Other,no_violation,1,2
971,Traffic,no_violation,5,6
972,Noise,fixed,4,5
973,Trash/Pollution,no_violation,3,4
974,Traffic,no_violation,5,6
975,Traffic,no_violation,5,6
976,Trash/Pollution,fixed,0,1
977,Traffic,referred,0,1
978,Personal Issue,fixed,0,1
979,Traffic,fixed,0,1
980,Traffic,fixed,0,1
981,Commercial,referred,0,1
983,Commercial,followup,0,1
984,Traffic,no_violation,5,6
985,Traffic,no_violation,5,6
986,Traffic,no_violation,5,6
987,Traffic,no_violation,5,6
988,Safety,no_violation,7,8
989,Traffic,no_violation,5,6
990,Traffic,no_violation,5,6
991,Noise,fixed,4,5
992,Safety,fixed,0,1
993,Noise,fixed,4,5
994,Personal Issue,followup,0,1
995,Noise,no_violation,6,7
996,Personal Issue,no_violation,1,2
997,Traffic,fixed,0,1
998,Traffic,fixed,0,1
999,Noise,fixed,4,5
1000,Traffic,fixed,0,1
1001,Traffic,no_violation,5,6
1002,Other,info_needed,0,1
1003,Commercial,no_violation,1,2
1004,Commercial,no_violation,1,2
1005,Noise,no_violation,6,7
1006,Commercial,no_violation,1,2
1008,Personal Issue,fixed,0,1
1009,Noise,fixed,4,5
1010,Noise,fixed,4,5
1011,Safety,fixed,0,1
1012,Safety,no_violation,7,8
1013,Noise,no_violation,6,7
1015,Other,followup,0,1
1018,Safety,no_violation,7,8
1019,Noise,fixed,4,5
1020,Noise,fixed,4,5
1021,Traffic,no_violation,5,6
1022,Traffic,no_violation,5,6
1023,Other,info_needed,0,1
1024,Safety,info_needed,7,8
1025,Noise,fixed,4,5
1026,Traffic,no_violation,5,6
1027,Safety,no_violation,7,8
1028,Noise,no_violation,6,7
1029,Noise,no_violation,6,7
1030,Traffic,no_violation,5,6
1031,Noise,no_violation,6,7
1032,Other,fixed,0,1
1033,Noise,fixed,4,5
1034,Other,info_needed,0,1
1035,Traffic,fixed,0,1
1036,Traffic,fixed,0,1
1037,Noise,no_violation,6,7
1038,Noise,fixed,4,5
1039,Noise,fixed,4,5
1040,Noise,fixed,4,5
1041,Trash/Pollution,fixed,0,1
1042,Traffic,fixed,0,1
1043,Personal Issue,no_violation,1,2
1044,Noise,no_violation,6,7
1045,Noise,fixed,4,5
1046,Traffic,fixed,0,1
1047,House,no_violation,1,2
1048,House,fixed,2,3
1049,House,no_violation,1,2
1050,Noise,no_violation,6,7
1051,Noise,no_violation,6,7
1052,Noise,no_violation,6,7
1053,House,fixed,2,3
1054,House,fixed,2,3
1055,House,fixed,2,3
1056,House,fixed,2,3
1057,House,fixed,2,3
1058,Traffic,fixed,0,1
1059,Traffic,fixed,0,1
1060,Traffic,no_violation,5,6
1061,Noise,no_violation,6,7
1062,Traffic,fixed,0,1
1063,House,info_needed,1,2
1064,Noise,fixed,4,5
1065,Noise,fixed,4,5
1066,Traffic,fixed,0,1
1068,Noise,no_violation,6,7
1069,Traffic,no_violation,5,6
1070,Noise,no_violation,6,7
1071,Noise,fixed,4,5
1072,Traffic,fixed,0,1
1073,Noise,fixed,4,5
1074,Noise,no_violation,6,7
1075,Traffic,no_violation,5,6
1076,Noise,no_violation,6,7
1077,Noise,no_violation,6,7
