,Descriptor,Resolved Type,Duration Type,Cluster Labels,Segment
165,Traffic,no_violation,"(26.55, 63.33]",1,2
167,Traffic,fixed,"(26.55, 63.33]",0,1
168,Other,followup,"(0.069, 26.55]",3,4
169,Noise,no_violation,"(26.55, 63.33]",6,7
170,Traffic,no_violation,"(26.55, 63.33]",1,2
171,Safety,fixed,"(26.55, 63.33]",0,1
172,Traffic,fixed,"(26.55, 63.33]",0,1
173,Other,referred,"(0.069, 26.55]",3,4
174,Traffic,no_violation,"(63.33, 2677.65]",1,2
176,Traffic,fixed,"(63.33, 2677.65]",8,9
177,Traffic,no_violation,"(0.069, 26.55]",1,2
178,Personal Issue,no_violation,"(63.33, 2677.65]",9,10
179,Noise,fixed,"(63.33, 2677.65]",4,5
181,Trash/Pollution,no_violation,"(26.55, 63.33]",1,2
182,Other,fixed,"(26.55, 63.33]",0,1
183,Noise,fixed,"(63.33, 2677.65]",4,5
184,Traffic,fixed,"(0.069, 26.55]",7,8
185,Traffic,fixed,"(26.55, 63.33]",0,1
186,Traffic,no_violation,"(26.55, 63.33]",1,2
188,Traffic,referred,"(0.069, 26.55]",1,2
189,Traffic,referred,"(26.55, 63.33]",1,2
191,Traffic,fixed,"(26.55, 63.33]",0,1
192,Traffic,no_violation,"(26.55, 63.33]",1,2
193,Traffic,fixed,"(26.55, 63.33]",0,1
194,Noise,no_violation,"(63.33, 2677.65]",9,10
195,Personal Issue,followup,"(26.55, 63.33]",0,1
197,Traffic,fixed,"(26.55, 63.33]",0,1
198,Noise,fixed,"(26.55, 63.33]",4,5
199,Traffic,no_violation,"(26.55, 63.33]",1,2
200,Traffic,no_violation,"(63.33, 2677.65]",1,2
201,Noise,no_violation,"(26.55, 63.33]",6,7
202,Safety,no_violation,"(26.55, 63.33]",0,1
203,Safety,no_violation,"(26.55, 63.33]",0,1
204,Safety,no_violation,"(26.55, 63.33]",0,1
205,Commercial,followup,"(0.069, 26.55]",3,4
206,Noise,fixed,"(26.55, 63.33]",4,5
207,Other,no_violation,"(26.55, 63.33]",1,2
208,Traffic,fixed,"(0.069, 26.55]",7,8
211,Noise,fixed,"(63.33, 2677.65]",4,5
212,Traffic,no_violation,"(0.069, 26.55]",1,2
213,Traffic,no_violation,"(26.55, 63.33]",1,2
214,Personal Issue,followup,"(0.069, 26.55]",3,4
215,Trash/Pollution,fixed,"(63.33, 2677.65]",8,9
216,Traffic,no_violation,"(26.55, 63.33]",1,2
217,Traffic,no_violation,"(0.069, 26.55]",1,2
218,Energy,no_violation,"(63.33, 2677.65]",9,10
219,Other,fixed,"(63.33, 2677.65]",8,9
220,Animals,referred,"(0.069, 26.55]",3,4
222,Traffic,fixed,"(26.55, 63.33]",0,1
223,Energy,fixed,"(26.55, 63.33]",0,1
224,Traffic,no_violation,"(0.069, 26.55]",1,2
226,Safety,referred,"(26.55, 63.33]",0,1
227,Safety,duplicated_report,"(63.33, 2677.65]",0,1
228,Trash/Pollution,no_violation,"(63.33, 2677.65]",9,10
229,Safety,fixed,"(0.069, 26.55]",0,1
230,Noise,no_violation,"(26.55, 63.33]",6,7
231,Noise,no_violation,"(0.069, 26.55]",3,4
232,Noise,fixed,"(26.55, 63.33]",4,5
233,Traffic,no_violation,"(26.55, 63.33]",1,2
235,Noise,fixed,"(0.069, 26.55]",7,8
237,Traffic,info_needed,"(26.55, 63.33]",1,2
238,Noise,no_violation,"(63.33, 2677.65]",9,10
239,Noise,info_needed,"(63.33, 2677.65]",9,10
241,Noise,info_needed,"(63.33, 2677.65]",9,10
242,Noise,info_needed,"(63.33, 2677.65]",9,10
243,Noise,info_needed,"(63.33, 2677.65]",9,10
244,Traffic,no_violation,"(26.55, 63.33]",1,2
245,Traffic,info_needed,"(63.33, 2677.65]",8,9
246,Other,no_violation,"(63.33, 2677.65]",9,10
247,Traffic,no_violation,"(63.33, 2677.65]",1,2
248,Traffic,no_violation,"(26.55, 63.33]",1,2
249,Traffic,no_violation,"(26.55, 63.33]",1,2
250,Noise,no_violation,"(63.33, 2677.65]",9,10
251,Personal Issue,followup,"(63.33, 2677.65]",8,9
252,Noise,fixed,"(0.069, 26.55]",7,8
253,Noise,fixed,"(63.33, 2677.65]",4,5
254,Traffic,no_violation,"(26.55, 63.33]",1,2
255,Noise,no_violation,"(26.55, 63.33]",6,7
256,Traffic,no_violation,"(26.55, 63.33]",1,2
257,Safety,no_violation,"(26.55, 63.33]",0,1
258,Personal Issue,no_violation,"(63.33, 2677.65]",9,10
259,Traffic,no_violation,"(63.33, 2677.65]",1,2
260,Safety,referred,"(0.069, 26.55]",0,1
261,Personal Issue,followup,"(63.33, 2677.65]",8,9
262,Traffic,no_violation,"(63.33, 2677.65]",1,2
263,Traffic,fixed,"(63.33, 2677.65]",8,9
264,Personal Issue,followup,"(63.33, 2677.65]",8,9
267,Safety,no_violation,"(0.069, 26.55]",3,4
268,Noise,fixed,"(63.33, 2677.65]",4,5
269,Commercial,fixed,"(26.55, 63.33]",0,1
270,Noise,no_violation,"(0.069, 26.55]",3,4
271,Trash/Pollution,referred,"(63.33, 2677.65]",8,9
272,Safety,no_violation,"(26.55, 63.33]",0,1
273,Safety,no_violation,"(0.069, 26.55]",3,4
275,Commercial,referred,"(63.33, 2677.65]",8,9
276,Traffic,info_needed,"(26.55, 63.33]",1,2
277,Noise,no_violation,"(0.069, 26.55]",3,4
279,Noise,no_violation,"(26.55, 63.33]",6,7
282,Noise,no_violation,"(26.55, 63.33]",6,7
283,Other,no_violation,"(63.33, 2677.65]",9,10
284,Other,fixed,"(63.33, 2677.65]",8,9
285,Noise,no_violation,"(26.55, 63.33]",6,7
286,Traffic,no_violation,"(63.33, 2677.65]",1,2
287,Traffic,no_violation,"(26.55, 63.33]",1,2
288,Traffic,no_violation,"(0.069, 26.55]",1,2
290,Traffic,no_violation,"(26.55, 63.33]",1,2
291,Traffic,no_violation,"(63.33, 2677.65]",1,2
292,Traffic,no_violation,"(63.33, 2677.65]",1,2
294,Traffic,fixed,"(63.33, 2677.65]",8,9
295,Traffic,no_violation,"(0.069, 26.55]",1,2
296,Traffic,no_violation,"(0.069, 26.55]",1,2
297,Noise,no_violation,"(0.069, 26.55]",3,4
298,Noise,no_violation,"(0.069, 26.55]",3,4
299,Trash/Pollution,no_violation,"(0.069, 26.55]",3,4
302,Noise,fixed,"(0.069, 26.55]",7,8
303,Noise,fixed,"(0.069, 26.55]",7,8
304,Noise,fixed,"(63.33, 2677.65]",4,5
305,Noise,fixed,"(0.069, 26.55]",7,8
306,Noise,no_violation,"(0.069, 26.55]",3,4
307,Noise,fixed,"(0.069, 26.55]",7,8
308,Noise,fixed,"(0.069, 26.55]",7,8
309,Noise,no_violation,"(26.55, 63.33]",6,7
310,Noise,no_violation,"(0.069, 26.55]",3,4
311,Traffic,no_violation,"(63.33, 2677.65]",1,2
312,Traffic,no_violation,"(26.55, 63.33]",1,2
313,Traffic,fixed,"(26.55, 63.33]",0,1
314,Other,no_violation,"(63.33, 2677.65]",9,10
315,Other,fixed,"(0.069, 26.55]",7,8
316,Traffic,no_violation,"(26.55, 63.33]",1,2
317,Traffic,fixed,"(0.069, 26.55]",7,8
318,Traffic,fixed,"(0.069, 26.55]",7,8
319,Noise,no_violation,"(26.55, 63.33]",6,7
320,Traffic,no_violation,"(26.55, 63.33]",1,2
321,Noise,no_violation,"(26.55, 63.33]",6,7
322,Personal Issue,no_violation,"(63.33, 2677.65]",9,10
323,House,no_violation,"(63.33, 2677.65]",2,3
324,Noise,fixed,"(26.55, 63.33]",4,5
325,Noise,fixed,"(0.069, 26.55]",7,8
326,Traffic,no_violation,"(26.55, 63.33]",1,2
327,Noise,no_violation,"(0.069, 26.55]",3,4
328,Traffic,no_violation,"(63.33, 2677.65]",1,2
329,Noise,fixed,"(26.55, 63.33]",4,5
330,Traffic,fixed,"(26.55, 63.33]",0,1
331,Noise,fixed,"(0.069, 26.55]",7,8
332,Other,no_violation,"(63.33, 2677.65]",9,10
334,Noise,fixed,"(26.55, 63.33]",4,5
335,Animals,no_violation,"(26.55, 63.33]",1,2
336,Noise,fixed,"(26.55, 63.33]",4,5
337,Traffic,no_violation,"(63.33, 2677.65]",1,2
338,Noise,no_violation,"(0.069, 26.55]",3,4
339,Noise,no_violation,"(26.55, 63.33]",6,7
340,Traffic,fixed,"(0.069, 26.55]",7,8
341,Noise,fixed,"(63.33, 2677.65]",4,5
342,Noise,fixed,"(26.55, 63.33]",4,5
343,Noise,fixed,"(0.069, 26.55]",7,8
344,Noise,no_violation,"(0.069, 26.55]",3,4
345,Traffic,fixed,"(0.069, 26.55]",7,8
346,Traffic,no_violation,"(26.55, 63.33]",1,2
347,Noise,no_violation,"(0.069, 26.55]",3,4
349,House,no_violation,"(63.33, 2677.65]",2,3
350,Personal Issue,no_violation,"(63.33, 2677.65]",9,10
351,Noise,fixed,"(63.33, 2677.65]",4,5
352,Noise,fixed,"(63.33, 2677.65]",4,5
353,Safety,no_violation,"(0.069, 26.55]",3,4
354,Noise,no_violation,"(0.069, 26.55]",3,4
355,Noise,info_needed,"(0.069, 26.55]",3,4
356,Traffic,no_violation,"(26.55, 63.33]",1,2
357,Traffic,no_violation,"(26.55, 63.33]",1,2
358,Noise,fixed,"(0.069, 26.55]",7,8
359,Traffic,no_violation,"(26.55, 63.33]",1,2
360,Safety,fixed,"(26.55, 63.33]",0,1
361,Traffic,no_violation,"(0.069, 26.55]",1,2
362,Noise,no_violation,"(26.55, 63.33]",6,7
363,Noise,no_violation,"(63.33, 2677.65]",9,10
364,Noise,no_violation,"(63.33, 2677.65]",9,10
365,Traffic,fixed,"(63.33, 2677.65]",8,9
366,Noise,no_violation,"(26.55, 63.33]",6,7
367,Noise,no_violation,"(0.069, 26.55]",3,4
368,Noise,no_violation,"(0.069, 26.55]",3,4
369,Noise,fixed,"(0.069, 26.55]",7,8
370,Traffic,no_violation,"(26.55, 63.33]",1,2
371,Noise,no_violation,"(0.069, 26.55]",3,4
372,House,fixed,"(0.069, 26.55]",7,8
374,Traffic,no_violation,"(26.55, 63.33]",1,2
375,Other,info_needed,"(0.069, 26.55]",3,4
376,House,no_violation,"(63.33, 2677.65]",2,3
377,Noise,no_violation,"(0.069, 26.55]",3,4
378,Traffic,fixed,"(0.069, 26.55]",7,8
379,Safety,no_violation,"(0.069, 26.55]",3,4
380,Noise,fixed,"(0.069, 26.55]",7,8
381,Safety,fixed,"(0.069, 26.55]",0,1
384,Traffic,no_violation,"(0.069, 26.55]",1,2
385,Noise,no_violation,"(0.069, 26.55]",3,4
386,Noise,fixed,"(26.55, 63.33]",4,5
387,Traffic,no_violation,"(26.55, 63.33]",1,2
388,Noise,no_violation,"(63.33, 2677.65]",9,10
389,Traffic,no_violation,"(26.55, 63.33]",1,2
390,Safety,no_violation,"(26.55, 63.33]",0,1
392,Traffic,fixed,"(26.55, 63.33]",0,1
393,Noise,fixed,"(0.069, 26.55]",7,8
394,Energy,no_violation,"(0.069, 26.55]",3,4
395,Noise,fixed,"(26.55, 63.33]",4,5
396,Noise,fixed,"(26.55, 63.33]",4,5
397,Traffic,no_violation,"(26.55, 63.33]",1,2
398,Traffic,fixed,"(26.55, 63.33]",0,1
399,Noise,no_violation,"(26.55, 63.33]",6,7
400,Noise,no_violation,"(63.33, 2677.65]",9,10
401,Noise,no_violation,"(63.33, 2677.65]",9,10
402,Noise,no_violation,"(63.33, 2677.65]",9,10
403,Traffic,fixed,"(26.55, 63.33]",0,1
404,House,fixed,"(0.069, 26.55]",7,8
406,Noise,no_violation,"(26.55, 63.33]",6,7
407,Noise,no_violation,"(0.069, 26.55]",3,4
408,Noise,no_violation,"(0.069, 26.55]",3,4
409,Noise,no_violation,"(0.069, 26.55]",3,4
410,Noise,no_violation,"(0.069, 26.55]",3,4
411,Noise,fixed,"(0.069, 26.55]",7,8
412,Noise,no_violation,"(26.55, 63.33]",6,7
413,Noise,no_violation,"(63.33, 2677.65]",9,10
414,Noise,no_violation,"(63.33, 2677.65]",9,10
415,Noise,fixed,"(26.55, 63.33]",4,5
416,Noise,fixed,"(26.55, 63.33]",4,5
417,Noise,no_violation,"(26.55, 63.33]",6,7
418,Noise,fixed,"(26.55, 63.33]",4,5
419,Other,fixed,"(26.55, 63.33]",0,1
420,Noise,fixed,"(63.33, 2677.65]",4,5
421,Noise,fixed,"(26.55, 63.33]",4,5
422,Noise,fixed,"(26.55, 63.33]",4,5
423,Traffic,no_violation,"(0.069, 26.55]",1,2
424,Noise,no_violation,"(26.55, 63.33]",6,7
425,Noise,no_violation,"(63.33, 2677.65]",9,10
426,Noise,no_violation,"(63.33, 2677.65]",9,10
427,Noise,no_violation,"(63.33, 2677.65]",9,10
428,Traffic,fixed,"(63.33, 2677.65]",8,9
429,Traffic,fixed,"(63.33, 2677.65]",8,9
430,Traffic,no_violation,"(0.069, 26.55]",1,2
431,Traffic,no_violation,"(0.069, 26.55]",1,2
432,Traffic,no_violation,"(0.069, 26.55]",1,2
434,Noise,fixed,"(26.55, 63.33]",4,5
435,Traffic,fixed,"(0.069, 26.55]",7,8
436,Noise,no_violation,"(26.55, 63.33]",6,7
437,Noise,no_violation,"(0.069, 26.55]",3,4
438,Traffic,no_violation,"(0.069, 26.55]",1,2
439,Noise,no_violation,"(0.069, 26.55]",3,4
440,Noise,fixed,"(0.069, 26.55]",7,8
441,Traffic,no_violation,"(26.55, 63.33]",1,2
442,Noise,no_violation,"(26.55, 63.33]",6,7
443,Traffic,fixed,"(0.069, 26.55]",7,8
444,Noise,no_violation,"(0.069, 26.55]",3,4
445,Noise,fixed,"(0.069, 26.55]",7,8
446,Noise,fixed,"(0.069, 26.55]",7,8
447,Traffic,no_violation,"(26.55, 63.33]",1,2
448,Traffic,no_violation,"(26.55, 63.33]",1,2
449,Traffic,no_violation,"(26.55, 63.33]",1,2
450,Traffic,no_violation,"(26.55, 63.33]",1,2
451,Safety,fixed,"(26.55, 63.33]",0,1
452,Traffic,no_violation,"(26.55, 63.33]",1,2
453,Traffic,no_violation,"(26.55, 63.33]",1,2
454,Traffic,no_violation,"(63.33, 2677.65]",1,2
456,Traffic,no_violation,"(63.33, 2677.65]",1,2
457,Traffic,no_violation,"(26.55, 63.33]",1,2
458,Noise,no_violation,"(26.55, 63.33]",6,7
459,Noise,fixed,"(0.069, 26.55]",7,8
460,Noise,fixed,"(0.069, 26.55]",7,8
461,Noise,fixed,"(0.069, 26.55]",7,8
462,Noise,no_violation,"(0.069, 26.55]",3,4
463,Noise,fixed,"(26.55, 63.33]",4,5
464,Traffic,no_violation,"(0.069, 26.55]",1,2
465,Traffic,fixed,"(26.55, 63.33]",0,1
466,Other,no_violation,"(0.069, 26.55]",3,4
467,Noise,fixed,"(26.55, 63.33]",4,5
468,Noise,no_violation,"(26.55, 63.33]",6,7
469,Noise,fixed,"(26.55, 63.33]",4,5
470,Noise,fixed,"(0.069, 26.55]",7,8
471,Noise,no_violation,"(26.55, 63.33]",6,7
472,Noise,no_violation,"(63.33, 2677.65]",9,10
473,Traffic,no_violation,"(63.33, 2677.65]",1,2
474,Traffic,no_violation,"(26.55, 63.33]",1,2
475,Noise,fixed,"(26.55, 63.33]",4,5
476,Noise,fixed,"(26.55, 63.33]",4,5
477,Noise,no_violation,"(0.069, 26.55]",3,4
478,Noise,fixed,"(26.55, 63.33]",4,5
479,Noise,fixed,"(0.069, 26.55]",7,8
480,Noise,fixed,"(26.55, 63.33]",4,5
481,Noise,fixed,"(0.069, 26.55]",7,8
482,Noise,fixed,"(26.55, 63.33]",4,5
483,Noise,fixed,"(26.55, 63.33]",4,5
484,Noise,fixed,"(26.55, 63.33]",4,5
485,Noise,fixed,"(63.33, 2677.65]",4,5
486,Noise,no_violation,"(0.069, 26.55]",3,4
487,Noise,fixed,"(26.55, 63.33]",4,5
488,Noise,fixed,"(0.069, 26.55]",7,8
490,Noise,fixed,"(26.55, 63.33]",4,5
491,Safety,fixed,"(0.069, 26.55]",0,1
492,Noise,fixed,"(0.069, 26.55]",7,8
493,House,fixed,"(0.069, 26.55]",7,8
494,Noise,fixed,"(0.069, 26.55]",7,8
495,Noise,no_violation,"(0.069, 26.55]",3,4
496,Noise,no_violation,"(63.33, 2677.65]",9,10
497,Noise,fixed,"(0.069, 26.55]",7,8
499,Noise,fixed,"(0.069, 26.55]",7,8
500,Noise,fixed,"(0.069, 26.55]",7,8
501,Noise,fixed,"(26.55, 63.33]",4,5
502,Noise,no_violation,"(63.33, 2677.65]",9,10
503,Other,no_violation,"(63.33, 2677.65]",9,10
504,Noise,fixed,"(0.069, 26.55]",7,8
505,Traffic,fixed,"(26.55, 63.33]",0,1
506,Traffic,fixed,"(63.33, 2677.65]",8,9
507,Noise,fixed,"(0.069, 26.55]",7,8
508,Noise,fixed,"(63.33, 2677.65]",4,5
509,Traffic,fixed,"(63.33, 2677.65]",8,9
510,Traffic,no_violation,"(26.55, 63.33]",1,2
511,Noise,fixed,"(26.55, 63.33]",4,5
512,Noise,fixed,"(0.069, 26.55]",7,8
513,Noise,fixed,"(0.069, 26.55]",7,8
514,Traffic,fixed,"(63.33, 2677.65]",8,9
515,Traffic,info_needed,"(0.069, 26.55]",1,2
516,Noise,no_violation,"(26.55, 63.33]",6,7
517,Noise,no_violation,"(63.33, 2677.65]",9,10
518,Noise,no_violation,"(63.33, 2677.65]",9,10
519,Noise,fixed,"(26.55, 63.33]",4,5
520,Noise,fixed,"(0.069, 26.55]",7,8
521,Traffic,no_violation,"(26.55, 63.33]",1,2
522,Noise,no_violation,"(0.069, 26.55]",3,4
523,Noise,fixed,"(63.33, 2677.65]",4,5
524,Noise,fixed,"(26.55, 63.33]",4,5
525,Traffic,no_violation,"(26.55, 63.33]",1,2
526,Noise,fixed,"(0.069, 26.55]",7,8
527,Noise,fixed,"(0.069, 26.55]",7,8
528,Traffic,no_violation,"(0.069, 26.55]",1,2
529,Energy,fixed,"(0.069, 26.55]",7,8
530,Noise,no_violation,"(26.55, 63.33]",6,7
531,Noise,fixed,"(0.069, 26.55]",7,8
532,Noise,fixed,"(63.33, 2677.65]",4,5
533,Noise,fixed,"(63.33, 2677.65]",4,5
534,Noise,fixed,"(0.069, 26.55]",7,8
535,Noise,fixed,"(26.55, 63.33]",4,5
536,Noise,fixed,"(26.55, 63.33]",4,5
537,Noise,no_violation,"(0.069, 26.55]",3,4
538,Noise,fixed,"(26.55, 63.33]",4,5
539,Noise,no_violation,"(0.069, 26.55]",3,4
540,Noise,no_violation,"(0.069, 26.55]",3,4
541,Noise,fixed,"(26.55, 63.33]",4,5
542,Noise,fixed,"(26.55, 63.33]",4,5
543,Noise,fixed,"(0.069, 26.55]",7,8
544,Noise,fixed,"(0.069, 26.55]",7,8
545,Noise,fixed,"(26.55, 63.33]",4,5
546,Noise,fixed,"(26.55, 63.33]",4,5
547,Noise,fixed,"(0.069, 26.55]",7,8
548,Safety,fixed,"(26.55, 63.33]",0,1
549,Noise,no_violation,"(0.069, 26.55]",3,4
550,Energy,fixed,"(0.069, 26.55]",7,8
551,Noise,fixed,"(0.069, 26.55]",7,8
552,Noise,no_violation,"(0.069, 26.55]",3,4
553,Traffic,no_violation,"(26.55, 63.33]",1,2
554,Noise,fixed,"(0.069, 26.55]",7,8
555,Noise,fixed,"(0.069, 26.55]",7,8
556,Noise,no_violation,"(0.069, 26.55]",3,4
557,Noise,no_violation,"(0.069, 26.55]",3,4
558,Traffic,no_violation,"(26.55, 63.33]",1,2
559,Noise,no_violation,"(26.55, 63.33]",6,7
560,Noise,fixed,"(0.069, 26.55]",7,8
561,Noise,no_violation,"(0.069, 26.55]",3,4
